track_id,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12,genre
TRYDTUP128F426BEC7,49.970298272,10.0042501878,46.303527423,-2.7737122464,-23.853725018800002,-11.545113448499999,-9.6871397446,0.44586401200000003,20.8381382419,4.1654117205,1.0664019534,14.487253193099999,17.0912260906,1033.53494803,1339.98513826,771.574299832,369.310354284,448.84388363,279.587653961,253.110727833,253.99887828400003,165.311834827,165.213194147,224.648007914,classic pop and rock
TRMUIPR128F1485297,43.084779661,34.2663126177,24.6043182674,4.6753013183,1.3887589454,4.8939190207,-3.0689152542,-17.4363766478,17.476969868199998,-0.8991431262,-6.099205273099999,2.9593389831,41.3322631435,1104.5585265,1247.16466183,951.3986013560001,754.2291411360001,897.8611683,455.444836006,322.591688954,470.26396740800004,302.92605565900004,221.452766476,272.042079979,classic pop and rock
TRPAQLC128F146E045,46.5431294643,32.6845055804,9.0745491071,-5.8095178571,-8.5778136161,-16.8667901786,-3.0617444195999997,-6.9226183036,7.7274475446,1.9692645088999998,1.5114899553999999,1.5634162946,20.8888520502,1263.19679727,1519.0183984999999,707.7576979930001,702.476102361,426.89672523699994,483.927470759,367.18820532800004,267.49194390599996,244.057247112,163.959857949,208.92808625599997,classic pop and rock
TRCCLLR12903CD74FF,38.2271426256,-107.823593193,30.8551944895,-7.5833079417,30.612881685599998,-14.1707909238,-18.1219886548,-8.8873484603,12.478792544600001,-8.4649448947,1.3367844408,9.0774246353,92.1388156134,5087.12410723,2624.52202502,1680.01520345,1968.66416369,677.841276285,834.7495511589999,581.076038088,635.059881422,347.73909265199995,323.550820532,640.34139638,folk
TRLVTRF12903CAE433,38.7163411458,-64.9023385417,-49.513234375,2.8066171875,11.845125,-2.8865434027999997,-7.068176215299999,0.025697048599999998,-1.2726736111,-2.0998263889,0.4983984375,-5.9530234375,31.875488198699998,2872.87211618,3266.148779,1826.39004673,779.0514044319999,1440.35741348,768.518119607,795.540485062,381.464153142,582.916083642,359.72337878699994,297.183663589,folk
TRSZCCC12903CF5342,45.3467444337,10.1991181026,18.4196553727,4.458035818,22.4046573088,0.35143465630000004,-5.395216844099999,2.7485624394999997,-5.0580106486,0.7494811229,-2.9559680542,-0.9843601162000001,29.4855711835,1456.39057847,1974.61100303,1607.36023342,860.178262915,837.552866468,801.501633577,486.621486012,450.577760684,308.63462277400004,438.08394334900004,336.471604592,soul and reggae
TRRCCMR128F14621A1,48.2981815068,78.9960667808,-2.857625,19.862322774,-12.752440068499999,-5.499717465800001,-7.1501224315,0.6434888699,12.4347457192,2.5393450343,7.0741155822,2.0417071918,31.1631772855,1429.80239801,2083.92347603,1494.56097778,1078.61086006,918.860414752,519.054642946,380.1007995,245.95258666400002,287.682805868,236.44156932099997,226.766599082,classic pop and rock
TRCDSMB128F42B1EF5,47.176075,14.251509375,29.0143171875,-4.3139734375,28.7544796875,9.771990625,-9.2916921875,8.006515625,-2.761690625,8.04311875,-6.305284375,5.36821875,36.9668719475,1957.31459651,1651.58832391,1962.43263175,633.566536559,1431.65693397,546.721199972,458.718457834,450.851448904,408.83026663,435.607771263,369.02992884599996,folk
TRBGQLO128F9305BBB,42.8576345476,-9.3583237368,12.140686839,4.1909336075,11.1312326675,-14.912939482999999,-3.5224776732999996,1.6546439483000002,-1.174539953,2.274726792,1.4915987074000001,2.0800757932,56.950130803,5036.86092804,3437.30333617,1345.54391594,708.291381217,760.954866905,612.384186128,439.09911275300004,316.002262469,270.26399805200003,218.431019535,281.821071065,jazz and blues
TRLJQXO128F92FFC19,49.1462134831,44.315752809,13.8350898876,-4.9218426966,-12.9055842697,-11.5699325843,-11.2461460674,7.819752809,0.8830337079,4.8233595506,-0.079247191,3.5224606742,86.82709016790001,2958.4208098,671.839597947,3013.44303629,466.10876309699995,532.463104333,355.684684731,470.563183445,233.427934145,328.066585691,283.715684006,141.61941959700002,punk
TRRPWKQ128F422B64E,41.2777255639,-25.3883421053,64.6060601504,4.4612481203,-9.6934323308,-2.5682781955,-26.488214285700003,-9.7866353384,2.0380827068,-4.0079135338,6.8826203008,9.5117105263,77.0256893119,1318.93575872,843.897949741,884.346588818,548.809002133,382.82182926800004,368.51976188300006,306.83936760000006,337.771106068,162.788540079,140.626901642,247.978694867,punk
TRUGPVA128F92FCEEB,41.745997365,59.7551488801,-5.0631383399,-19.8380487484,18.363654809,-28.485436100100003,1.9403478261000002,5.2866416337,13.4938695652,4.8873820817,0.40882345189999997,23.5746231884,17.7178806561,848.870375642,1072.05305332,521.813984257,570.0957522919999,257.589742934,339.290347405,224.08172331,366.69425094900004,157.25770816,116.179179819,186.996065647,classic pop and rock
TRWPSSN128F42992CF,43.5333916914,38.5904139466,9.7731706232,-4.5419777448,-20.4695964392,-3.4269777448000003,-0.8333961423999999,3.6759421365,-7.800958457,1.4559035608000002,-5.2176246291,4.3971810089,28.233187564699996,2737.66601496,1085.96437784,934.370174648,1554.16341211,839.902878375,494.31034755699994,515.156037556,413.94150568699996,352.3789122,252.17842458200002,229.80683146,classic pop and rock
TRCZIQB128E0788372,34.3590897436,-124.678087607,88.7784679487,34.2396452991,16.499634615399998,-2.4278333333,-8.354741452999999,-2.9600918803,-5.3593205128,-4.1551025641,9.9369294872,0.4843589744,36.7407699065,4103.80965758,4859.43008384,2159.84052336,1672.28639839,564.173496395,1182.80530807,264.939646203,549.009272662,134.426577203,217.35240077900002,397.785036162,classical
TRGANHX12903CB2C1C,49.161556701,60.2646126657,1.2873556701,21.5472960236,15.2812216495,-3.5503645066000002,-9.6423718704,3.3741215022000004,-2.9045486008999997,8.673155375599999,1.9466089838,3.5477452136000003,21.1730797063,2442.97541255,3056.70257914,1708.24607481,961.03918309,1123.71588012,597.5176201190001,793.111831036,522.5725140659999,423.642266147,367.418020399,305.985039259,classic pop and rock
TRHOFJH128F92E6AED,51.4464027994,-40.2886547434,50.988562986,11.4302768274,-23.6134758942,-12.255844479,15.1566049767,-9.072855365499999,17.1419486781,-3.4225069984,0.7207527215999999,-5.7385147745000005,17.2464178175,538.534727352,1063.94968653,939.8410441039999,512.8774634719999,712.932769012,315.740514575,291.431824161,496.44298796199996,243.72175899,194.195264454,183.909202635,dance and electronica
TRXPTKQ128F9315812,49.0817488285,24.4623223993,13.0580965323,2.8559418932,-4.3539550141,1.5603495783,-2.6414339269,6.0663561387,-7.6247225867,7.2920290534,-4.8952314902,0.8772867854,23.563372519899996,1173.4427787,1229.28366859,1486.1769267000002,903.2205873080001,1006.20399345,488.91235963599996,491.70880102800004,662.2238198590001,447.850442369,423.784718009,246.251595601,soul and reggae
TRNCEHO128E078C632,41.9111593039,8.8697148594,-15.0807429719,7.6152717537,5.4215448461,-1.1698273092,-17.5878045515,-7.147073627799999,15.0763386881,13.422353413699998,1.9699933066,-6.2955488621,42.634228511399996,1827.00233609,2963.51923181,3011.50534802,1339.87466014,1697.43382594,951.882239496,725.471090475,362.23920567,627.746809599,521.58006972,266.732858443,soul and reggae
TRBOGUY12903CA4386,27.8718215919,1.4968115279,-40.6142250686,-16.0347026532,29.6340777676,-27.537642269000003,8.788043915800001,10.6686267155,-16.3604409881,6.0316605673,-3.4647566331,1.8821198536000001,76.2585718264,10281.985761,2821.30772565,1762.60440425,3825.30771555,795.835528729,2649.51123765,926.000121098,1226.86896071,572.490087386,339.59796984900004,759.7145919389999,dance and electronica
